Metabolomic Feature,Putative Chemical Class
HILIC-pos_Cluster_0048,"Amino acids, peptides, and analogues"
C8-pos_Cluster_0515,#N/A
HILIC-pos_Cluster_2052,#N/A
HILIC-neg_Cluster_0013,Straight chain fatty acids
HILIC-pos_Cluster_0151,Fatty acids and conjugates
HILIC-pos_Cluster_1374,Acyl carnitines
C8-pos_Cluster_1303,Cholesteryl esters
C8-pos_Cluster_1521,Sphingolipids
HILIC-pos_Cluster_1486,Acyl carnitines
C8-pos_Cluster_1395,Cholesteryl esters
C8-pos_Cluster_1375,Cholesteryl esters
C8-pos_Cluster_1004,Sphingolipids
C8-pos_Cluster_0878,1-acyl-sn-glycero-3-phosphocholines
HILIC-pos_Cluster_1684,1-acyl-sn-glycero-3-phosphoethanolamines
C8-pos_Cluster_1657,Sphingolipids
HILIC-pos_Cluster_2293,Sphingolipids
C8-pos_Cluster_1369,Cholesteryl esters
C8-pos_Cluster_1386,Cholesteryl esters
HILIC-pos_Cluster_1773,1-(1Z-alkenyl)-glycero-3-phosphocholines
C8-pos_Cluster_0354,1-monoacylglycerols
C8-pos_Cluster_0313,1-monoacylglycerols
C8-pos_Cluster_1647,#N/A
HILIC-pos_Cluster_1593,Acyl carnitines
C8-pos_Cluster_1525,Cholesteryl esters
C8-pos_Cluster_1502,Cholesteryl esters
C8-pos_Cluster_0949,1-acyl-sn-glycero-3-phosphocholines
HILIC-pos_Cluster_1899,1-acyl-sn-glycero-3-phosphocholines
C8-pos_Cluster_0467,1-monoacylglycerols
C8-pos_Cluster_0446,1-monoacylglycerols
C8-pos_Cluster_1758,Sphingolipids
C8-pos_Cluster_0338,Monoalkylglycerols
C8-pos_Cluster_0410,Monoalkylglycerols
HILIC-pos_Cluster_1586,Fatty acid esters
C8-pos_Cluster_1490,#N/A
C8-pos_Cluster_1514,#N/A
C8-pos_Cluster_0945,1-acyl-sn-glycero-3-phosphocholines
HILIC-pos_Cluster_1855,1-(1Z-alkenyl)-glycero-3-phosphocholines
HILIC-pos_Cluster_1893,1-acyl-sn-glycero-3-phosphocholines
HILIC-pos_Cluster_1580,Acyl carnitines
C8-pos_Cluster_1478,Cholesteryl esters
C8-pos_Cluster_1504,Cholesteryl esters
C8-pos_Cluster_0939,1-acyl-sn-glycero-3-phosphocholines
C8-pos_Cluster_1468,Cholesteryl esters
C8-pos_Cluster_1494,Cholesteryl esters
C8-pos_Cluster_0936,1-acyl-sn-glycero-3-phosphocholines
HILIC-pos_Cluster_0453,#N/A
HILIC-pos_Cluster_1691,Acyl carnitines
C8-pos_Cluster_0915,1-acyl-sn-glycero-3-phosphoethanolamines
C8-pos_Cluster_1610,Cholesteryl esters
C8-pos_Cluster_1635,Cholesteryl esters
HILIC-pos_Cluster_1673,#N/A
C8-pos_Cluster_1623,Cholesteryl esters
C8-pos_Cluster_1597,Cholesteryl esters
C8-pos_Cluster_1614,Cholesteryl esters
C8-pos_Cluster_1012,1-acyl-sn-glycero-3-phosphocholines
C8-pos_Cluster_1888,Sphingolipids
C8-pos_Cluster_0678,1-monoacylglycerols
C8-pos_Cluster_1884,Sphingolipids
C8-pos_Cluster_1722,Cholesteryl esters
C8-pos_Cluster_1742,Cholesteryl esters
C8-pos_Cluster_1712,Cholesteryl esters
C8-pos_Cluster_1736,Cholesteryl esters
C8-pos_Cluster_1726,Cholesteryl esters
C8-pos_Cluster_1970,Sphingolipids
C8-pos_Cluster_0868,Triacylglycerols
C8-pos_Cluster_1965,Sphingolipids
C8-pos_Cluster_2019,Sphingolipids
C8-pos_Cluster_1070,"1,2-diacylglycerols"
C8-pos_Cluster_1186,"1,2-diacylglycerols"
C8-pos_Cluster_1761,Phosphatidylcholines
C8-pos_Cluster_1146,"1,2-diacylglycerols"
C8-pos_Cluster_1302,"1,2-diacylglycerols"
C8-pos_Cluster_1727,Phosphatidylethanolamines
C8-pos_Cluster_1277,"1,2-diacylglycerols"
C8-pos_Cluster_1821,Phosphatidylcholines
C8-pos_Cluster_1800,"1-(1Z-alkenyl),2-acyl-glycerophosphocholines"
C8-pos_Cluster_1291,Lineolic acids and derivatives
C8-pos_Cluster_1271,Lineolic acids and derivatives
C8-pos_Cluster_1817,Phosphatidylcholines
C8-pos_Cluster_1282,Lineolic acids and derivatives
C8-pos_Cluster_1262,Lineolic acids and derivatives
C8-pos_Cluster_1393,"1,2-diacylglycerols"
C8-pos_Cluster_1889,Phosphatidylcholines
C8-pos_Cluster_1377,#N/A
C8-pos_Cluster_1364,#N/A
C8-pos_Cluster_1886,#N/A
C8-pos_Cluster_1856,"1-(1Z-alkenyl),2-acyl-glycerophosphocholines"
HILIC-pos_Cluster_2372,#N/A
C8-pos_Cluster_1373,Lineolic acids and derivatives
C8-pos_Cluster_1358,Lineolic acids and derivatives
C8-pos_Cluster_1879,Phosphatidylcholines
C8-pos_Cluster_1367,Lineolic acids and derivatives
C8-pos_Cluster_1351,Lineolic acids and derivatives
C8-pos_Cluster_1873,Phosphatidylcholines
C8-pos_Cluster_1874,Phosphatidylcholines
C8-pos_Cluster_1833,"1-(1Z-alkenyl),2-acyl-glycerophosphocholines"
C8-pos_Cluster_1835,"1-(1Z-alkenyl),2-acyl-glycerophosphocholines"
C8-pos_Cluster_1473,"1,2-diacylglycerols"
HILIC-pos_Cluster_0790,Acyl carnitines
HILIC-pos_Cluster_0625,#N/A
C8-pos_Cluster_1799,#N/A
C8-pos_Cluster_1791,#N/A
C8-pos_Cluster_1861,Triacylglycerols
C8-pos_Cluster_1848,Triacylglycerols
C8-pos_Cluster_1854,#N/A
C8-pos_Cluster_1837,#N/A
C8-pos_Cluster_1932,Triacylglycerols
C8-pos_Cluster_1912,Triacylglycerols
C8-pos_Cluster_1922,#N/A
C8-pos_Cluster_1907,#N/A
C8-pos_Cluster_1915,Triacylglycerols
C8-pos_Cluster_1902,Triacylglycerols
C8-pos_Cluster_2003,#N/A
C8-pos_Cluster_1992,#N/A
C8-pos_Cluster_1997,#N/A
C8-pos_Cluster_1995,Triacylglycerols
C8-pos_Cluster_1976,Triacylglycerols
C8-pos_Cluster_1987,Triacylglycerols
C8-pos_Cluster_1980,#N/A
C8-pos_Cluster_2022,#N/A
C8-pos_Cluster_2088,Triacylglycerols
C8-pos_Cluster_2081,Triacylglycerols
C8-pos_Cluster_2064,Triacylglycerols
C8-pos_Cluster_2075,#N/A
C8-pos_Cluster_2069,#N/A
C8-pos_Cluster_2046,#N/A
C8-pos_Cluster_2056,#N/A
C8-pos_Cluster_2040,#N/A
C8-pos_Cluster_2048,#N/A
C8-pos_Cluster_2130,Triacylglycerols
C8-pos_Cluster_2117,Triacylglycerols
C8-pos_Cluster_2102,Triacylglycerols
C8-pos_Cluster_2094,#N/A
C8-pos_Cluster_2168,Triacylglycerols
C8-pos_Cluster_2154,Triacylglycerols
C8-pos_Cluster_2161,Triacylglycerols
C8-pos_Cluster_2147,Triacylglycerols
C8-pos_Cluster_2156,#N/A
C8-pos_Cluster_2140,#N/A
C8-pos_Cluster_2149,Triacylglycerols
C8-pos_Cluster_2136,Triacylglycerols
C8-pos_Cluster_2141,#N/A
C8-pos_Cluster_2132,#N/A
C8-pos_Cluster_2138,Triacylglycerols
C8-pos_Cluster_2124,Triacylglycerols
C8-pos_Cluster_2134,#N/A
C8-pos_Cluster_2119,#N/A
C8-pos_Cluster_2128,#N/A
C8-pos_Cluster_2192,#N/A
C8-pos_Cluster_2178,#N/A
C8-pos_Cluster_2242,Triacylglycerols
C8-pos_Cluster_2240,#N/A
C8-pos_Cluster_2233,Triacylglycerols
C8-pos_Cluster_2218,Triacylglycerols
C8-pos_Cluster_2226,#N/A
C8-pos_Cluster_2211,#N/A
C8-pos_Cluster_2220,#N/A
C8-pos_Cluster_2207,#N/A
C8-pos_Cluster_2215,Triacylglycerols
C8-pos_Cluster_2201,Triacylglycerols
C8-pos_Cluster_2210,Triacylglycerols
C8-pos_Cluster_2202,Triacylglycerols
C8-pos_Cluster_2197,#N/A
C8-pos_Cluster_2284,#N/A
C8-pos_Cluster_2277,#N/A
C8-pos_Cluster_2319,Triacylglycerols
C8-pos_Cluster_2308,Triacylglycerols
C8-pos_Cluster_2313,#N/A
C8-pos_Cluster_2306,#N/A
C8-pos_Cluster_2311,#N/A
C8-pos_Cluster_2303,#N/A
C8-pos_Cluster_2307,#N/A
C8-pos_Cluster_2297,#N/A
C8-pos_Cluster_2304,Triacylglycerols
C8-pos_Cluster_2300,#N/A
C8-pos_Cluster_2286,#N/A
C8-pos_Cluster_2293,Triacylglycerols
C8-pos_Cluster_2345,#N/A
C8-pos_Cluster_2341,Triacylglycerols
HILIC-pos_Cluster_0405,Purines and purine derivatives
HILIC-neg_Cluster_0064,Medium-chain fatty acids
HILIC-neg_Cluster_0156,Medium-chain fatty acids
HILIC-pos_Cluster_0230,Quaternary ammonium salts
HILIC-pos_Cluster_0590,Peptidomimetics
C18-neg_Cluster_0486,Diterpene lactones
C18-neg_Cluster_1045,"Bile acids, alcohols and derivatives"
C18-neg_Cluster_0832,"Bile acids, alcohols and derivatives"
C18-neg_Cluster_1292,"Bile acids, alcohols and derivatives"
C18-neg_Cluster_1060,"Bile acids, alcohols and derivatives"
C18-neg_Cluster_1129,"Bile acids, alcohols and derivatives"
HILIC-neg_Cluster_1360,"Bile acids, alcohols and derivatives"
C18-neg_Cluster_1258,"Bile acids, alcohols and derivatives"
C18-neg_Cluster_0930,"Bile acids, alcohols and derivatives"
HILIC-neg_Cluster_1403,"Bile acids, alcohols and derivatives"
C18-neg_Cluster_1178,"Bile acids, alcohols and derivatives"
C18-neg_Cluster_1273,"Bile acids, alcohols and derivatives"
C18-neg_Cluster_1372,"Bile acids, alcohols and derivatives"
C18-neg_Cluster_1621,"Bile acids, alcohols and derivatives"
C18-neg_Cluster_1722,"Bile acids, alcohols and derivatives"
C8-pos_Cluster_1849,Cholesterols and derivatives
C8-pos_Cluster_1900,Cholesterols and derivatives
C8-pos_Cluster_0478,Cholesterols and derivatives
C8-pos_Cluster_0554,Cholesterols and derivatives
C8-pos_Cluster_0629,Cholesterols and derivatives
C8-pos_Cluster_0705,Cholesterols and derivatives
C8-pos_Cluster_0416,#N/A
HILIC-pos_Cluster_0022,Quaternary ammonium salts
HILIC-neg_Cluster_0392,Tricarboxylic acids and derivatives
HILIC-pos_Cluster_0306,L-alpha-amino acids
HILIC-neg_Cluster_0296,L-alpha-amino acids
HILIC-pos_Cluster_0090,Alpha amino acids and derivatives
HILIC-pos_Cluster_0036,"Amino acids, peptides, and analogues"
HILIC-neg_Cluster_0677,L-cysteine-S-conjugates
HILIC-pos_Cluster_0032,#N/A
C18-neg_Cluster_0833,"Bile acids, alcohols and derivatives"
HILIC-pos_Cluster_0734,Purine nucleosides
HILIC-neg_Cluster_0740,Purine nucleosides
HILIC-pos_Cluster_0936,Acetamides
HILIC-neg_Cluster_0199,Benzoic acids and derivatives
HILIC-pos_Cluster_0298,Alpha amino acids
C18-neg_Cluster_0472,#N/A
HILIC-neg_Cluster_1126,Very long-chain fatty acids
C18-neg_Cluster_0490,Very long-chain fatty acids
C18-neg_Cluster_0863,Very long-chain fatty acids
C18-neg_Cluster_0729,Very long-chain fatty acids
C18-neg_Cluster_1324,Very long-chain fatty acids
C18-neg_Cluster_0111,Medium-chain fatty acids
HILIC-neg_Cluster_1002,Fatty acids and conjugates
C18-neg_Cluster_0351,Fatty acids and conjugates
C18-neg_Cluster_0591,Long-chain fatty acids
C18-neg_Cluster_0361,Long-chain fatty acids
C18-neg_Cluster_0373,Long-chain fatty acids
C8-pos_Cluster_0737,#N/A
HILIC-neg_Cluster_0122,#N/A
HILIC-pos_Cluster_0913,Fatty acid esters
HILIC-neg_Cluster_0562,O-glucuronides
HILIC-neg_Cluster_0321,Hexoses
HILIC-neg_Cluster_0237,Hexoses
HILIC-neg_Cluster_0061,#N/A
HILIC-pos_Cluster_0658,Fatty alcohol esters
HILIC-pos_Cluster_0657,Fatty alcohol esters
HILIC-neg_Cluster_0401,Glucuronic acid derivatives
HILIC-pos_Cluster_0160,"Amino acids, peptides, and analogues"
HILIC-neg_Cluster_0166,Glutamic acid and derivatives
HILIC-pos_Cluster_0156,L-alpha-amino acids
HILIC-neg_Cluster_0162,L-alpha-amino acids
HILIC-neg_Cluster_0036,Sugar acids and derivatives
HILIC-neg_Cluster_1571,#N/A
C18-neg_Cluster_1196,#N/A
C18-neg_Cluster_1081,#N/A
C18-neg_Cluster_1197,#N/A
HILIC-neg_Cluster_0182,Imidazopyrimidines
HILIC-neg_Cluster_0909,Purine nucleosides
HILIC-neg_Cluster_0841,Long-chain fatty acids
C18-neg_Cluster_0268,Long-chain fatty acids
HILIC-pos_Cluster_0033,#N/A
HILIC-neg_Cluster_0201,"Amino acids, peptides, and analogues"
HILIC-neg_Cluster_0328,Phenols
HILIC-neg_Cluster_0181,#N/A
HILIC-neg_Cluster_0070,Hydroxy fatty acids
HILIC-pos_Cluster_0089,#N/A
C18-neg_Cluster_0830,#N/A
HILIC-pos_Cluster_0108,Purines and purine derivatives
HILIC-neg_Cluster_0123,Purines and purine derivatives
HILIC-pos_Cluster_0121,Azoles
HILIC-neg_Cluster_0204,Azoles
HILIC-pos_Cluster_0822,Purine nucleosides
HILIC-neg_Cluster_0824,Purine nucleosides
HILIC-pos_Cluster_0092,Isoleucine and derivatives
C18-neg_Cluster_0900,#N/A
HILIC-pos_Cluster_0383,Quinolines and derivatives
HILIC-pos_Cluster_0521,Pyridoindoles
HILIC-neg_Cluster_0020,Hydroxy acids and derivatives
HILIC-neg_Cluster_1170,O-glycosyl compounds
HILIC-pos_Cluster_0091,"Amino acids, peptides, and analogues"
HILIC-neg_Cluster_0105,"Amino acids, peptides, and analogues"
HILIC-neg_Cluster_0230,#N/A
C18-neg_Cluster_0246,#N/A
HILIC-neg_Cluster_1325,Organonitrogen compounds
HILIC-pos_Cluster_1160,Organonitrogen compounds
C8-pos_Cluster_1495,Organonitrogen compounds
C8-pos_Cluster_0264,Organonitrogen compounds
HILIC-pos_Cluster_1148,Organonitrogen compounds
C8-pos_Cluster_0339,Organonitrogen compounds
HILIC-neg_Cluster_1088,Organonitrogen compounds
HILIC-neg_Cluster_1303,#N/A
C18-neg_Cluster_0731,#N/A
HILIC-neg_Cluster_0247,Phenylpropanoic acids
HILIC-pos_Cluster_0157,"Amino acids, peptides, and analogues"
HILIC-neg_Cluster_0118,#N/A
HILIC-neg_Cluster_0033,Dicarboxylic acids and derivatives
C18-neg_Cluster_1680,#N/A
C18-neg_Cluster_1385,#N/A
C18-neg_Cluster_1803,#N/A
C18-neg_Cluster_2068,#N/A
HILIC-pos_Cluster_0167,Methionine and derivatives
HILIC-neg_Cluster_0173,Methionine and derivatives
HILIC-pos_Cluster_0244,Alpha amino acids
HILIC-neg_Cluster_0030,Methyl-branched fatty acids
HILIC-pos_Cluster_0191,Pyridines and derivatives
C18-neg_Cluster_0107,Long-chain fatty acids
HILIC-neg_Cluster_0372,Glutamic acid and derivatives
HILIC-pos_Cluster_0384,Glutamic acid and derivatives
HILIC-pos_Cluster_0495,Glutamic acid and derivatives
HILIC-pos_Cluster_0419,Histidine and derivatives
HILIC-pos_Cluster_0524,N-acyl-L-alpha-amino acids
HILIC-pos_Cluster_0086,Carboximidic acids and derivatives
HILIC-pos_Cluster_0038,Carboximidic acids and derivatives
HILIC-pos_Cluster_0374,Carboximidic acids and derivatives
C18-neg_Cluster_0672,Very long-chain fatty acids
HILIC-neg_Cluster_0082,Pyridinecarboxylic acids and derivatives
HILIC-pos_Cluster_0062,Pyridinecarboxylic acids and derivatives
HILIC-pos_Cluster_0082,#N/A
HILIC-pos_Cluster_0378,Arginine and derivatives
C8-pos_Cluster_0341,Organonitrogen compounds
C18-neg_Cluster_1596,#N/A
C18-neg_Cluster_1275,#N/A
C18-neg_Cluster_0250,#N/A
HILIC-pos_Cluster_0100,"Amino acids, peptides, and analogues"
HILIC-neg_Cluster_0203,Pyrimidines and pyrimidine derivatives
HILIC-neg_Cluster_0016,Dicarboxylic acids and derivatives
C18-neg_Cluster_0171,Fatty acids and conjugates
C18-neg_Cluster_0164,Long-chain fatty acids
C8-pos_Cluster_0288,2-monoacylglycerols
C18-neg_Cluster_0515,Carboximidic acids and derivatives
C18-neg_Cluster_0563,Carboximidic acids and derivatives
C8-pos_Cluster_0168,Carboximidic acids and derivatives
HILIC-pos_Cluster_0540,"Amino acids, peptides, and analogues"
HILIC-neg_Cluster_0552,"Amino acids, peptides, and analogues"
HILIC-neg_Cluster_0697,Long-chain fatty acids
HILIC-neg_Cluster_0125,#N/A
HILIC-pos_Cluster_0248,Phenylalanine and derivatives
HILIC-neg_Cluster_0242,Phenylpropanoic acids
C18-neg_Cluster_0031,Phenylpropanoic acids
C18-neg_Cluster_0019,Phenols
HILIC-pos_Cluster_1113,Organonitrogen compounds
HILIC-pos_Cluster_0081,L-alpha-amino acids
C8-pos_Cluster_0136,#N/A
HILIC-pos_Cluster_0927,#N/A
HILIC-pos_Cluster_0041,"Amino acids, peptides, and analogues"
HILIC-neg_Cluster_0059,"Amino acids, peptides, and analogues"
HILIC-pos_Cluster_0134,Proline and derivatives
HILIC-neg_Cluster_0003,Carboxylic acids
HILIC-neg_Cluster_0707,Nucleoside and nucleotide analogues
HILIC-pos_Cluster_0007,Amines
HILIC-pos_Cluster_0268,Pyridoxamines
HILIC-pos_Cluster_0184,Pyridoxamines
HILIC-neg_Cluster_0040,Benzenediols
HILIC-pos_Cluster_0079,Alpha amino acids and derivatives
HILIC-neg_Cluster_0192,Sugar alcohols
HILIC-neg_Cluster_1300,Alloxazines and isoalloxazines
HILIC-neg_Cluster_0332,Benzothiazoles
HILIC-neg_Cluster_0129,Benzoic acids and derivatives
C18-neg_Cluster_0064,Fatty acids and conjugates
HILIC-neg_Cluster_0441,Fatty acids and conjugates
HILIC-pos_Cluster_0024,"Amino acids, peptides, and analogues"
HILIC-neg_Cluster_0035,"Amino acids, peptides, and analogues"
HILIC-neg_Cluster_0283,#N/A
HILIC-neg_Cluster_0331,Sugar alcohols
HILIC-pos_Cluster_1017,Organonitrogen compounds
C8-pos_Cluster_0166,Organonitrogen compounds
C8-pos_Cluster_0123,Organonitrogen compounds
C8-pos_Cluster_0253,Organonitrogen compounds
C8-pos_Cluster_0988,Organonitrogen compounds
C18-neg_Cluster_0256,Fatty acids and conjugates
C8-pos_Cluster_0277,Organonitrogen compounds
HILIC-neg_Cluster_0288,#N/A
HILIC-neg_Cluster_0069,Dicarboxylic acids and derivatives
HILIC-neg_Cluster_0174,#N/A
HILIC-pos_Cluster_0066,Organosulfonic acids and derivatives
HILIC-neg_Cluster_0085,Organosulfonic acids and derivatives
C18-neg_Cluster_1574,"Bile acids, alcohols and derivatives"
HILIC-neg_Cluster_1675,#N/A
C18-neg_Cluster_1575,#N/A
C18-neg_Cluster_1576,#N/A
C18-neg_Cluster_1465,#N/A
C18-neg_Cluster_0177,Long-chain fatty acids
HILIC-pos_Cluster_0797,Pyrimidines and pyrimidine derivatives
HILIC-pos_Cluster_0049,L-alpha-amino acids
HILIC-neg_Cluster_0073,L-alpha-amino acids
HILIC-pos_Cluster_0998,#N/A
HILIC-pos_Cluster_0906,#N/A
HILIC-neg_Cluster_0087,Diazines
HILIC-pos_Cluster_0172,Alkanolamines
HILIC-pos_Cluster_0113,#N/A
HILIC-pos_Cluster_0054,#N/A
HILIC-pos_Cluster_0379,L-alpha-amino acids
HILIC-pos_Cluster_0455,Indoles and derivatives
HILIC-neg_Cluster_0452,Indoles and derivatives
HILIC-pos_Cluster_0333,"Amino acids, peptides, and analogues"
HILIC-neg_Cluster_0324,"Amino acids, peptides, and analogues"
C18-neg_Cluster_0079,Medium-chain fatty acids
HILIC-neg_Cluster_0049,Pyrimidines and pyrimidine derivatives
HILIC-neg_Cluster_0254,Purines and purine derivatives
HILIC-neg_Cluster_0706,#N/A
C18-neg_Cluster_2021,Tetrapyrroles and derivatives
HILIC-pos_Cluster_2093,Tetrapyrroles and derivatives
HILIC-pos_Cluster_0116,Imidazoles
HILIC-pos_Cluster_0046,"Amino acids, peptides, and analogues"
HILIC-neg_Cluster_0066,"Amino acids, peptides, and analogues"
HILIC-neg_Cluster_0187,Imidazopyrimidines
HILIC-neg_Cluster_0176,Pentoses
C18-neg_Cluster_1871,Monoalkylglycerophosphocholines
HILIC-pos_Cluster_0637,"Purine 2',3'-dideoxyribonucleosides"
HILIC-pos_Cluster_0340,Harmala alkaloids
C8-pos_Cluster_0124,Fatty amides
C8-pos_Cluster_1198,#N/A
C8-pos_Cluster_1310,#N/A
C18-neg_Cluster_2126,Monoalkylglycerophosphocholines
C18-neg_Cluster_0187,Xylenes
C18-neg_Cluster_0138,#N/A
C18-neg_Cluster_0610,#N/A
HILIC-neg_Cluster_0395,#N/A
C18-neg_Cluster_0006,#N/A
C18-neg_Cluster_0016,#N/A
C18-neg_Cluster_0024,Hexoses
C18-neg_Cluster_0030,#N/A
C18-neg_Cluster_0063,Medium-chain fatty acids
C18-neg_Cluster_0066,Cyclohexenones
C18-neg_Cluster_0069,Naphthalenes
C18-neg_Cluster_0087,#N/A
C18-neg_Cluster_0101,Lactones
C18-neg_Cluster_0102,Lactones
C18-neg_Cluster_0116,#N/A
C18-neg_Cluster_0128,#N/A
C18-neg_Cluster_0140,Dipeptides
C18-neg_Cluster_0145,Fatty alcohols
C18-neg_Cluster_0150,Peptidomimetics
C18-neg_Cluster_0172,Isoflavonoids
C18-neg_Cluster_0173,Isoflavonoids
C18-neg_Cluster_0180,Fatty alcohols
C18-neg_Cluster_0205,Phenolic glycosides
C18-neg_Cluster_0206,Benzazepines
C18-neg_Cluster_0207,Macrolides and analogues
C18-neg_Cluster_0208,Long-chain fatty acids
C18-neg_Cluster_0209,Long-chain fatty acids
C18-neg_Cluster_0216,Sesquiterpenoids
C18-neg_Cluster_0217,Sesquiterpenoids
C18-neg_Cluster_0226,Long-chain fatty acids
C18-neg_Cluster_0230,Harmala alkaloids
C18-neg_Cluster_0239,Keto acids and derivatives
C18-neg_Cluster_0248,Pyrans
C18-neg_Cluster_0254,Artemisinins
C18-neg_Cluster_0265,#N/A
C18-neg_Cluster_0266,#N/A
C18-neg_Cluster_0267,Monoterpenoids
C18-neg_Cluster_0275,Long-chain fatty acids
C18-neg_Cluster_0277,Long-chain fatty acids
C18-neg_Cluster_0283,Furopyrans
C18-neg_Cluster_0294,Fatty acids and conjugates
C18-neg_Cluster_0316,Long-chain fatty acids
C18-neg_Cluster_0331,Long-chain fatty acids
C18-neg_Cluster_0389,Furanoid lignans
C18-neg_Cluster_0390,Isoflavonoids
C18-neg_Cluster_0392,#N/A
C18-neg_Cluster_0396,Fatty acid esters
C18-neg_Cluster_0400,Acyclic diterpenoids
C18-neg_Cluster_0409,Long-chain fatty acids
C18-neg_Cluster_0413,Long-chain fatty acids
C18-neg_Cluster_0416,Long-chain fatty acids
C18-neg_Cluster_0432,Long-chain fatty alcohols
C18-neg_Cluster_0441,#N/A
C18-neg_Cluster_0468,Flavonoids
C18-neg_Cluster_0470,Lineolic acids and derivatives
C18-neg_Cluster_0471,Lineolic acids and derivatives
C18-neg_Cluster_0476,Fatty acid esters
C18-neg_Cluster_0480,Phenylbenzodioxanes
C18-neg_Cluster_0484,Phenylbenzodioxanes
C18-neg_Cluster_0491,Long-chain fatty acids
C18-neg_Cluster_0505,Long-chain fatty acids
C18-neg_Cluster_0510,Prostaglandins and related compounds
C18-neg_Cluster_0513,#N/A
C18-neg_Cluster_0520,Long-chain fatty acids
C18-neg_Cluster_0552,Acyl carnitines
C18-neg_Cluster_0555,Flavonoids
C18-neg_Cluster_0561,Long-chain fatty acids
C18-neg_Cluster_0566,Diterpenoids
C18-neg_Cluster_0567,Fatty acid esters
C18-neg_Cluster_0571,#N/A
C18-neg_Cluster_0573,Sesquiterpenoids
C18-neg_Cluster_0578,"Amino acids, peptides, and analogues"
C18-neg_Cluster_0581,Hydroxyeicosapentaenoic acids
C18-neg_Cluster_0595,Alkyl-phenylketones
C18-neg_Cluster_0603,#N/A
C18-neg_Cluster_0615,Very long-chain fatty acids
C18-neg_Cluster_0631,Coumarins and derivatives
C18-neg_Cluster_0655,#N/A
C18-neg_Cluster_0675,#N/A
C18-neg_Cluster_0685,Ketones
C18-neg_Cluster_0698,Phenylacetamides
C18-neg_Cluster_0706,#N/A
C18-neg_Cluster_0713,#N/A
