,PC,Label,p_value
45,PC1,"negative_5,10-cycloaromadendrane sesquiterpenoids",1.0
46,PC1,positive_Abscisic acids and derivatives,1.0
47,PC1,negative_Abscisic acids and derivatives,1.0
48,PC1,positive_Acetals,1.0
49,PC1,negative_Acetals,1.0
50,PC1,positive_Acyclic diterpenoids,0.40688419398588216
51,PC1,negative_Acyclic diterpenoids,0.4794548754311072
52,PC1,positive_Acyclic olefins,1.0
53,PC1,negative_Acyclic olefins,1.0
54,PC1,positive_Acyl carnitines,1.0
55,PC1,negative_Acyl carnitines,1.0
56,PC1,positive_Acylaminobenzoic acid and derivatives,0.28193548387096773
57,PC1,negative_Acylaminobenzoic acid and derivatives,1.0
58,PC1,positive_Acylaminosugars,1.0
59,PC1,negative_Acylaminosugars,0.3974960876369328
60,PC1,positive_Alanine and derivatives,1.0
61,PC1,negative_Alanine and derivatives,1.0
62,PC1,positive_Alcohols and polyols,1.0
63,PC1,negative_Alcohols and polyols,1.0
64,PC1,positive_Aldehydes,1.0
65,PC1,negative_Aldehydes,1.0
66,PC1,positive_Alkyl-phenylketones,0.21748914309601358
67,PC1,negative_Alkyl-phenylketones,1.0
68,PC1,positive_Alloxazines and isoalloxazines,1.0
69,PC1,negative_Alloxazines and isoalloxazines,1.0
70,PC1,positive_Allyl sulfur compounds,0.3647058823529411
71,PC1,negative_Allyl sulfur compounds,1.0
72,PC1,positive_Alpha amino acid amides,1.0
73,PC1,negative_Alpha amino acid amides,1.0
74,PC1,positive_Alpha amino acid esters,1.0
75,PC1,negative_Alpha amino acid esters,1.0
76,PC1,positive_Alpha amino acids,1.0
77,PC1,negative_Alpha amino acids,1.0
78,PC1,positive_Alpha amino acids and derivatives,0.13498521093258686
79,PC1,negative_Alpha amino acids and derivatives,0.4669695993328532
80,PC1,positive_Alpha-acyloxy carbonyl compounds,1.0
81,PC1,negative_Alpha-acyloxy carbonyl compounds,1.0
82,PC1,"positive_Alpha-branched alpha,beta-unsaturated ketones",0.5136844879848876
83,PC1,"negative_Alpha-branched alpha,beta-unsaturated ketones",1.0
84,PC1,positive_Alpha-hydrogen aldehydes,1.0
85,PC1,negative_Alpha-hydrogen aldehydes,1.0
86,PC1,"positive_Amino acids, peptides, and analogues",0.33251689785558036
87,PC1,"negative_Amino acids, peptides, and analogues",0.6740602030538991
88,PC1,positive_Aminobenzamides,0.5390243902439025
89,PC1,negative_Aminobenzamides,1.0
90,PC1,positive_Aminobenzoic acids,1.0
91,PC1,negative_Aminobenzoic acids,1.0
92,PC1,positive_Aminoquinolines and derivatives,0.3903903903903904
93,PC1,negative_Aminoquinolines and derivatives,1.0
94,PC1,positive_Amphetamines and derivatives,0.004430749187467568
95,PC1,negative_Amphetamines and derivatives,1.0
96,PC1,positive_Anagyrine-type alkaloids,1.0
97,PC1,negative_Anagyrine-type alkaloids,1.0
98,PC1,positive_Androgens and derivatives,0.587610232764745
99,PC1,negative_Androgens and derivatives,1.0
100,PC1,positive_Androstane steroids,1.0
101,PC1,negative_Androstane steroids,1.0
102,PC1,positive_Anilides,0.4930875576036867
103,PC1,negative_Anilides,0.4024144869215291
104,PC1,positive_Aniline and substituted anilines,0.5376955903271694
105,PC1,negative_Aniline and substituted anilines,1.0
106,PC1,positive_Anisoles,1.0
107,PC1,negative_Anisoles,1.0
108,PC1,positive_Annonaceous acetogenins,0.43380044515767685
109,PC1,negative_Annonaceous acetogenins,0.1357725806764073
110,PC1,positive_Aporphines,1.0
111,PC1,negative_Aporphines,1.0
112,PC1,positive_Artemisinins,1.0
113,PC1,negative_Artemisinins,1.0
114,PC1,positive_Aryl-aldehydes,0.4055944055944056
115,PC1,negative_Aryl-aldehydes,0.3126826417299824
116,PC1,positive_Aspartic acid and derivatives,1.0
117,PC1,negative_Aspartic acid and derivatives,1.0
118,PC1,positive_Azoles,0.3803931916456249
119,PC1,negative_Azoles,1.0
120,PC1,positive_Azolidines,1.0
121,PC1,negative_Azolidines,1.0
122,PC1,positive_Benzaldehydes,1.0
123,PC1,negative_Benzaldehydes,1.0
124,PC1,positive_Benzazepines,0.2140264454239046
125,PC1,negative_Benzazepines,1.0
126,PC1,positive_Benzene and substituted derivatives,0.07401758447010372
127,PC1,negative_Benzene and substituted derivatives,1.0
128,PC1,positive_Benzenediols,1.0
129,PC1,negative_Benzenediols,1.0
130,PC1,positive_Benzenesulfonic acids and derivatives,0.2719406293136262
131,PC1,negative_Benzenesulfonic acids and derivatives,1.0
132,PC1,positive_Benzidines,1.0
133,PC1,negative_Benzidines,0.3655172413793103
134,PC1,positive_Benzimidazoles,1.0
135,PC1,negative_Benzimidazoles,1.0
136,PC1,positive_Benzodiazepines,0.4705822267620022
137,PC1,negative_Benzodiazepines,1.0
138,PC1,positive_Benzodioxoles,1.0
139,PC1,negative_Benzodioxoles,1.0
140,PC1,positive_Benzoic acid esters,0.6658593677520392
141,PC1,negative_Benzoic acid esters,1.0
142,PC1,positive_Benzoic acids and derivatives,0.5711113547891882
143,PC1,negative_Benzoic acids and derivatives,1.0
144,PC1,positive_Benzopyrans,0.3378200948275596
145,PC1,negative_Benzopyrans,0.5908215442699457
146,PC1,positive_Benzopyrazoles,1.0
147,PC1,negative_Benzopyrazoles,1.0
148,PC1,positive_Benzoquinolines,0.19216341427135825
149,PC1,negative_Benzoquinolines,1.0
150,PC1,positive_Benzothiazepines,0.5390243902439025
151,PC1,negative_Benzothiazepines,1.0
152,PC1,positive_Benzothiophenes,0.5128503437334745
153,PC1,negative_Benzothiophenes,1.0
154,PC1,positive_Benzoxazines,1.0
155,PC1,negative_Benzoxazines,0.5177756454137545
156,PC1,positive_Benzoxazolones,1.0
157,PC1,negative_Benzoxazolones,0.39226109048270463
158,PC1,positive_Benzyl alcohols,1.0
159,PC1,negative_Benzyl alcohols,1.0
160,PC1,positive_Benzyloxycarbonyls,0.4591194968553459
161,PC1,negative_Benzyloxycarbonyls,1.0
162,PC1,positive_Beta amino acids and derivatives,0.46230440967283076
163,PC1,negative_Beta amino acids and derivatives,1.0
164,PC1,positive_Beta-diketones,0.7478108115879927
165,PC1,negative_Beta-diketones,1.0
166,PC1,"positive_Bile acids, alcohols and derivatives",0.4881420703607958
167,PC1,"negative_Bile acids, alcohols and derivatives",0.1524236332271797
168,PC1,positive_Biphenols,1.0
169,PC1,negative_Biphenols,1.0
170,PC1,positive_Biphenyls and derivatives,1.0
171,PC1,negative_Biphenyls and derivatives,0.4117647058823528
172,PC1,positive_Brassinolides and derivatives,0.032196625120329635
173,PC1,negative_Brassinolides and derivatives,1.0
174,PC1,positive_Camptothecins,1.0
175,PC1,negative_Camptothecins,1.0
176,PC1,positive_Carbohydrates and carbohydrate conjugates,1.0
177,PC1,negative_Carbohydrates and carbohydrate conjugates,1.0
178,PC1,positive_Carbonyl compounds,1.0
179,PC1,negative_Carbonyl compounds,1.0
180,PC1,positive_Carboximidic acids and derivatives,1.0
181,PC1,negative_Carboximidic acids and derivatives,0.6721012283718142
182,PC1,positive_Carboxylic acid derivatives,1.0
183,PC1,negative_Carboxylic acid derivatives,1.0
184,PC1,positive_Carboxylic acids,1.0
185,PC1,negative_Carboxylic acids,1.0
186,PC1,positive_Cardenolide glycosides and derivatives,1.0
187,PC1,negative_Cardenolide glycosides and derivatives,1.0
188,PC1,positive_Cardenolides and derivatives,0.5080213903743314
189,PC1,negative_Cardenolides and derivatives,1.0
190,PC1,positive_Cardiolipins,0.18773988479843517
191,PC1,negative_Cardiolipins,0.29988004798080775
192,PC1,positive_Cembrane diterpenoids,1.0
193,PC1,negative_Cembrane diterpenoids,1.0
194,PC1,positive_Cholestane steroids,0.3378057886547179
195,PC1,negative_Cholestane steroids,1.0
196,PC1,positive_Cholesterols and derivatives,0.02086687783893218
197,PC1,negative_Cholesterols and derivatives,1.0
198,PC1,positive_Cholesteryl esters,0.047646506601134876
199,PC1,negative_Cholesteryl esters,0.20831848546999573
200,PC1,positive_Cinnamic acids and derivatives,0.0890267509834495
201,PC1,negative_Cinnamic acids and derivatives,1.0
202,PC1,positive_Coumarans,1.0
203,PC1,negative_Coumarans,1.0
204,PC1,positive_Coumarins and derivatives,1.0
205,PC1,negative_Coumarins and derivatives,1.0
206,PC1,positive_Cucurbitacins,1.0
207,PC1,negative_Cucurbitacins,1.0
208,PC1,positive_Cumenes,1.0
209,PC1,negative_Cumenes,1.0
210,PC1,positive_Cyanogenic glycosides,0.45235361653272116
211,PC1,negative_Cyanogenic glycosides,1.0
212,PC1,positive_Cyclic ketones,0.5908123230414384
213,PC1,negative_Cyclic ketones,1.0
214,PC1,positive_Cyclic olefins,0.4841269841269841
215,PC1,negative_Cyclic olefins,1.0
216,PC1,positive_Cycloartanols and derivatives,1.0
217,PC1,negative_Cycloartanols and derivatives,1.0
218,PC1,positive_Cyclohexanols,1.0
219,PC1,negative_Cyclohexanols,1.0
220,PC1,positive_Cyclohexenones,0.11752221990276467
221,PC1,negative_Cyclohexenones,1.0
222,PC1,positive_Cyclohexylphenols,0.2923387096774193
223,PC1,negative_Cyclohexylphenols,1.0
224,PC1,positive_Cyclopentyl nucleosides,1.0
225,PC1,negative_Cyclopentyl nucleosides,0.33063427800269907
226,PC1,positive_Diazinanes,1.0
227,PC1,negative_Diazinanes,1.0
228,PC1,positive_Diazines,0.6003972217455958
229,PC1,negative_Diazines,1.0
230,PC1,positive_Dicarboxylic acids and derivatives,0.4150527071544874
231,PC1,negative_Dicarboxylic acids and derivatives,1.0
232,PC1,positive_Dihydrofurans,1.0
233,PC1,negative_Dihydrofurans,0.3068895460974668
234,PC1,positive_Dihydrothiophenes,1.0
235,PC1,negative_Dihydrothiophenes,1.0
236,PC1,"positive_Dihydroxy bile acids, alcohols and derivatives",0.2516159422186168
237,PC1,"negative_Dihydroxy bile acids, alcohols and derivatives",1.0
238,PC1,positive_Dimethoxybenzenes,1.0
239,PC1,negative_Dimethoxybenzenes,1.0
240,PC1,positive_Dioxanes,0.34627479438800196
241,PC1,negative_Dioxanes,1.0
242,PC1,positive_Dipeptides,1.0
243,PC1,negative_Dipeptides,1.0
244,PC1,positive_Diphenylacetonitriles,0.3627118644067796
245,PC1,negative_Diphenylacetonitriles,0.4347826086956522
246,PC1,positive_Diphenylethers,1.0
247,PC1,negative_Diphenylethers,1.0
248,PC1,positive_Diphenylmethanes,1.0
249,PC1,negative_Diphenylmethanes,1.0
250,PC1,positive_Diradylglycerols,0.3130740668360367
251,PC1,negative_Diradylglycerols,1.0
252,PC1,positive_Diterpene glycosides,1.0
253,PC1,negative_Diterpene glycosides,1.0
254,PC1,positive_Diterpene lactones,1.0
255,PC1,negative_Diterpene lactones,1.0
256,PC1,positive_Diterpenoids,0.08409602423024684
257,PC1,negative_Diterpenoids,0.5868423874626104
258,PC1,positive_Dithioacetals,0.43181818181818177
259,PC1,negative_Dithioacetals,1.0
260,PC1,positive_Eicosanoids,0.30364773836047454
261,PC1,negative_Eicosanoids,0.4177361666316012
262,PC1,positive_Endocannabinoids,1.0
263,PC1,negative_Endocannabinoids,1.0
264,PC1,positive_Epoxides,0.13429003508742854
265,PC1,negative_Epoxides,1.0
266,PC1,"positive_Eremophilane, 8,9-secoeremophilane and furoeremophilane sesquiterpenoids",1.0
267,PC1,"negative_Eremophilane, 8,9-secoeremophilane and furoeremophilane sesquiterpenoids",1.0
268,PC1,positive_Ergoline and derivatives,1.0
269,PC1,negative_Ergoline and derivatives,1.0
270,PC1,positive_Ergostane steroids,0.4127138728831278
271,PC1,negative_Ergostane steroids,1.0
272,PC1,positive_Ergosterols and derivatives,0.030840609095470994
273,PC1,negative_Ergosterols and derivatives,1.0
274,PC1,positive_Estrane steroids,1.0
275,PC1,negative_Estrane steroids,1.0
276,PC1,"positive_Eudesmane, isoeudesmane or cycloeudesmane sesquiterpenoids",0.3447580645161291
277,PC1,"negative_Eudesmane, isoeudesmane or cycloeudesmane sesquiterpenoids",1.0
278,PC1,positive_Fatty acid esters,0.14171838184748273
279,PC1,negative_Fatty acid esters,1.0
280,PC1,positive_Fatty acid methyl esters,1.0
281,PC1,negative_Fatty acid methyl esters,1.0
282,PC1,positive_Fatty acids and conjugates,0.1102886429793709
283,PC1,negative_Fatty acids and conjugates,1.0
284,PC1,positive_Fatty acyl glycosides,0.6104779931294071
285,PC1,negative_Fatty acyl glycosides,1.0
286,PC1,positive_Fatty acyl glycosides of mono- and disaccharides,0.674400753476121
287,PC1,negative_Fatty acyl glycosides of mono- and disaccharides,1.0
288,PC1,positive_Fatty acyl thioesters,1.0
289,PC1,negative_Fatty acyl thioesters,1.0
290,PC1,positive_Fatty alcohol esters,0.2551594575953379
291,PC1,negative_Fatty alcohol esters,1.0
292,PC1,positive_Fatty alcohols,0.6782259187901629
293,PC1,negative_Fatty alcohols,0.5693621691144168
294,PC1,positive_Fatty aldehydes,0.57754635509271
295,PC1,negative_Fatty aldehydes,1.0
296,PC1,positive_Fatty amides,1.0
297,PC1,negative_Fatty amides,1.0
298,PC1,positive_Flavones,1.0
299,PC1,negative_Flavones,1.0
300,PC1,positive_Flavonoid glycosides,1.0
301,PC1,negative_Flavonoid glycosides,1.0
302,PC1,positive_Flavonoids,0.08226909648996072
303,PC1,negative_Flavonoids,1.0
304,PC1,positive_Furanocoumarins,1.0
305,PC1,negative_Furanocoumarins,1.0
306,PC1,positive_Furanoid fatty acids,1.0
307,PC1,negative_Furanoid fatty acids,1.0
308,PC1,positive_Furanoid lignans,0.3000491590349752
309,PC1,negative_Furanoid lignans,1.0
310,PC1,positive_Furanoisoflavonoids,1.0
311,PC1,negative_Furanoisoflavonoids,1.0
312,PC1,positive_Furanones,0.26873788463940634
313,PC1,negative_Furanones,1.0
314,PC1,positive_Furoic acid derivatives,1.0
315,PC1,negative_Furoic acid derivatives,1.0
316,PC1,positive_Furopyrans,1.0
317,PC1,negative_Furopyrans,1.0
318,PC1,positive_Galanthamine-type amaryllidaceae alkaloids,1.0
319,PC1,negative_Galanthamine-type amaryllidaceae alkaloids,1.0
320,PC1,positive_Gallic acid and derivatives,1.0
321,PC1,negative_Gallic acid and derivatives,1.0
322,PC1,positive_Galloyl esters,1.0
323,PC1,negative_Galloyl esters,1.0
324,PC1,positive_Gamma amino acids and derivatives,1.0
325,PC1,negative_Gamma amino acids and derivatives,1.0
326,PC1,positive_Gamma butyrolactones,1.0
327,PC1,negative_Gamma butyrolactones,1.0
328,PC1,"positive_Gluco/mineralocorticoids, progestogins and derivatives",1.0
329,PC1,"negative_Gluco/mineralocorticoids, progestogins and derivatives",0.35180878552971573
330,PC1,positive_Glucuronic acid derivatives,1.0
331,PC1,negative_Glucuronic acid derivatives,0.5645594428147035
332,PC1,positive_Glutamic acid and derivatives,0.19206278225335152
333,PC1,negative_Glutamic acid and derivatives,1.0
334,PC1,positive_Glutamine and derivatives,1.0
335,PC1,negative_Glutamine and derivatives,1.0
336,PC1,positive_Glycerol vinyl ethers,1.0
337,PC1,negative_Glycerol vinyl ethers,0.13103448275862073
338,PC1,positive_Glycerolipids,1.0
339,PC1,negative_Glycerolipids,1.0
340,PC1,positive_Glycerophosphates,1.0
341,PC1,negative_Glycerophosphates,0.3978680495534428
342,PC1,positive_Glycerophosphocholines,1.0
343,PC1,negative_Glycerophosphocholines,1.0
344,PC1,positive_Glycerophosphoinositol phosphates,1.0
345,PC1,negative_Glycerophosphoinositol phosphates,1.0
346,PC1,positive_Glycinamide ribonucleotides,1.0
347,PC1,negative_Glycinamide ribonucleotides,1.0
348,PC1,positive_Glycosyl compounds,0.4332064736862338
349,PC1,negative_Glycosyl compounds,0.5169919021152821
350,PC1,positive_Glycosylglycerols,1.0
351,PC1,negative_Glycosylglycerols,1.0
352,PC1,positive_Guaianes,1.0
353,PC1,negative_Guaianes,1.0
354,PC1,positive_Guaianolides and derivatives,1.0
355,PC1,negative_Guaianolides and derivatives,1.0
356,PC1,positive_Harmala alkaloids,0.41805847939489305
357,PC1,negative_Harmala alkaloids,0.5905131954843674
358,PC1,positive_Hemiacetals,0.3201970443349754
359,PC1,negative_Hemiacetals,1.0
360,PC1,positive_Hexoses,0.3000491590349752
361,PC1,negative_Hexoses,1.0
362,PC1,positive_Hippuric acids,1.0
363,PC1,negative_Hippuric acids,1.0
364,PC1,positive_Homogeneous transition metal compounds,1.0
365,PC1,negative_Homogeneous transition metal compounds,1.0
366,PC1,positive_Hydroxy acids and derivatives,0.5160120759000771
367,PC1,negative_Hydroxy acids and derivatives,0.5100276305932899
368,PC1,"positive_Hydroxy bile acids, alcohols and derivatives",1.0
369,PC1,"negative_Hydroxy bile acids, alcohols and derivatives",1.0
370,PC1,positive_Hydroxy fatty acids,1.0
371,PC1,negative_Hydroxy fatty acids,1.0
372,PC1,positive_Hydroxybenzoic acid derivatives,0.49691855779623395
373,PC1,negative_Hydroxybenzoic acid derivatives,1.0
374,PC1,positive_Hydroxycinnamic acids and derivatives,0.2204287007896196
375,PC1,negative_Hydroxycinnamic acids and derivatives,1.0
376,PC1,positive_Hydroxyeicosapentaenoic acids,1.0
377,PC1,negative_Hydroxyeicosapentaenoic acids,1.0
378,PC1,positive_Hydroxyeicosatrienoic acids,1.0
379,PC1,negative_Hydroxyeicosatrienoic acids,1.0
380,PC1,positive_Hydroxysteroids,1.0
381,PC1,negative_Hydroxysteroids,1.0
382,PC1,positive_Imidazoles,1.0
383,PC1,negative_Imidazoles,1.0
384,PC1,positive_Imidazopyrimidines,0.4741839447111084
385,PC1,negative_Imidazopyrimidines,0.5677375164473635
386,PC1,positive_Indoles and derivatives,0.43430474762705196
387,PC1,negative_Indoles and derivatives,1.0
388,PC1,positive_Iridoids and derivatives,1.0
389,PC1,negative_Iridoids and derivatives,1.0
390,PC1,positive_Isoflavonoids,1.0
391,PC1,negative_Isoflavonoids,1.0
392,PC1,positive_Isoindolines,1.0
393,PC1,negative_Isoindolines,0.12299081515499427
394,PC1,positive_Isoleucine and derivatives,1.0
395,PC1,negative_Isoleucine and derivatives,1.0
396,PC1,positive_Isothiocyanates,1.0
397,PC1,negative_Isothiocyanates,1.0
398,PC1,positive_Kaurane diterpenoids,0.6187187128511145
399,PC1,negative_Kaurane diterpenoids,1.0
400,PC1,positive_Ketals,0.43043062200956933
401,PC1,negative_Ketals,1.0
402,PC1,positive_Keto acids and derivatives,0.3689958774356554
403,PC1,negative_Keto acids and derivatives,0.5662763742423859
404,PC1,positive_Ketones,0.3361702758430821
405,PC1,negative_Ketones,1.0
406,PC1,positive_L-alpha-amino acids,0.4331536207795134
407,PC1,negative_L-alpha-amino acids,1.0
408,PC1,positive_Lactones,0.33795760551054355
409,PC1,negative_Lactones,1.0
410,PC1,positive_Leucine and derivatives,1.0
411,PC1,negative_Leucine and derivatives,1.0
412,PC1,positive_Leukotrienes,1.0
413,PC1,negative_Leukotrienes,1.0
414,PC1,positive_Lignan glycosides,0.4689655172413793
415,PC1,negative_Lignan glycosides,1.0
416,PC1,"positive_Linear 1,3-diarylpropanoids",1.0
417,PC1,"negative_Linear 1,3-diarylpropanoids",1.0
418,PC1,positive_Lineolic acids and derivatives,0.15203286365810298
419,PC1,negative_Lineolic acids and derivatives,0.2946858738673578
420,PC1,positive_Long-chain fatty acids,0.12387563193028074
421,PC1,negative_Long-chain fatty acids,0.12827976428175414
422,PC1,positive_Long-chain fatty alcohols,0.3651497062933947
423,PC1,negative_Long-chain fatty alcohols,0.23703235624102822
424,PC1,positive_M-benzoquinones,1.0
425,PC1,negative_M-benzoquinones,0.307909604519774
426,PC1,positive_M-methoxybenzoic acids and derivatives,0.45549097831149626
427,PC1,negative_M-methoxybenzoic acids and derivatives,1.0
428,PC1,positive_Macrolides and analogues,0.5822077317186771
429,PC1,negative_Macrolides and analogues,1.0
430,PC1,positive_Medium-chain fatty acids,0.2562214158223486
431,PC1,negative_Medium-chain fatty acids,1.0
432,PC1,positive_Medium-chain hydroxy acids and derivatives,1.0
433,PC1,negative_Medium-chain hydroxy acids and derivatives,1.0
434,PC1,positive_Medium-chain keto acids and derivatives,0.38888888888888895
435,PC1,negative_Medium-chain keto acids and derivatives,1.0
436,PC1,positive_Menthane monoterpenoids,0.5846824408468245
437,PC1,negative_Menthane monoterpenoids,1.0
438,PC1,positive_Methionine and derivatives,1.0
439,PC1,negative_Methionine and derivatives,1.0
440,PC1,positive_Methyl-branched fatty acids,1.0
441,PC1,negative_Methyl-branched fatty acids,1.0
442,PC1,positive_Monoalkylglycerols,1.0
443,PC1,negative_Monoalkylglycerols,1.0
444,PC1,positive_Monoalkylglycerophosphates,0.47948717948717945
445,PC1,negative_Monoalkylglycerophosphates,1.0
446,PC1,positive_Monoalkylglycerophosphocholines,1.0
447,PC1,negative_Monoalkylglycerophosphocholines,0.3076429397541519
448,PC1,positive_Monocyclic monoterpenoids,1.0
449,PC1,negative_Monocyclic monoterpenoids,1.0
450,PC1,positive_Monoterpenoids,0.7067928010903258
451,PC1,negative_Monoterpenoids,1.0
452,PC1,positive_Monothioacetals,1.0
453,PC1,negative_Monothioacetals,1.0
454,PC1,positive_Morphinans,1.0
455,PC1,negative_Morphinans,1.0
456,PC1,positive_N-acetyl-2-arylethylamines,1.0
457,PC1,negative_N-acetyl-2-arylethylamines,1.0
458,PC1,positive_N-acyl amines,1.0
459,PC1,negative_N-acyl amines,1.0
460,PC1,positive_N-acyl-L-alpha-amino acids,1.0
461,PC1,negative_N-acyl-L-alpha-amino acids,0.3950668036998971
462,PC1,positive_N-acyl-alpha amino acids,0.22554234886409474
463,PC1,negative_N-acyl-alpha amino acids,0.24287601759923133
464,PC1,positive_N-acyl-alpha-hexosamines,1.0
465,PC1,negative_N-acyl-alpha-hexosamines,1.0
466,PC1,positive_N-acylneuraminic acids,1.0
467,PC1,negative_N-acylneuraminic acids,1.0
468,PC1,positive_N-alkylpyrrolidines,1.0
469,PC1,negative_N-alkylpyrrolidines,1.0
470,PC1,positive_N-carbamoyl-alpha amino acids,1.0
471,PC1,negative_N-carbamoyl-alpha amino acids,1.0
472,PC1,positive_Naphthalenes,0.3594081638930757
473,PC1,negative_Naphthalenes,1.0
474,PC1,positive_Naphthofurans,1.0
475,PC1,negative_Naphthofurans,1.0
476,PC1,positive_Nitrophenols,1.0
477,PC1,negative_Nitrophenols,1.0
478,PC1,positive_Nucleoside and nucleotide analogues,1.0
479,PC1,negative_Nucleoside and nucleotide analogues,1.0
480,PC1,positive_O-acylglycerone-phosphates,1.0
481,PC1,negative_O-acylglycerone-phosphates,1.0
482,PC1,positive_O-alkylglycerone phosphates,0.46230440967283076
483,PC1,negative_O-alkylglycerone phosphates,1.0
484,PC1,positive_O-glucuronides,0.23191256404614705
485,PC1,negative_O-glucuronides,1.0
486,PC1,positive_O-glycosyl compounds,0.724776988053992
487,PC1,negative_O-glycosyl compounds,0.39608944467994917
488,PC1,positive_O-methylated flavonoids,1.0
489,PC1,negative_O-methylated flavonoids,1.0
490,PC1,positive_O-methylated isoflavonoids,0.40645161290322585
491,PC1,negative_O-methylated isoflavonoids,1.0
492,PC1,positive_Oligopeptides,0.2892215184558905
493,PC1,negative_Oligopeptides,0.10244307709648427
494,PC1,positive_Oligosaccharides,1.0
495,PC1,negative_Oligosaccharides,1.0
496,PC1,positive_Organic phosphoric acids and derivatives,1.0
497,PC1,negative_Organic phosphoric acids and derivatives,0.13546798029556648
498,PC1,positive_Organic sulfuric acids and derivatives,1.0
499,PC1,negative_Organic sulfuric acids and derivatives,1.0
500,PC1,positive_Organonitrogen compounds,0.3959653414688014
501,PC1,negative_Organonitrogen compounds,0.4121224785920667
502,PC1,positive_Organosulfonic acids and derivatives,1.0
503,PC1,negative_Organosulfonic acids and derivatives,0.17702027622685867
504,PC1,positive_Other hydroxyeicosapolyenoic acids,1.0
505,PC1,negative_Other hydroxyeicosapolyenoic acids,0.4178076893324051
506,PC1,positive_Oxazinanes,1.0
507,PC1,negative_Oxazinanes,1.0
508,PC1,positive_Oxosteroids,1.0
509,PC1,negative_Oxosteroids,1.0
510,PC1,positive_P-methoxybenzoic acids and derivatives,0.12094823415578132
511,PC1,negative_P-methoxybenzoic acids and derivatives,1.0
512,PC1,"positive_Pentahydroxy bile acids, alcohols and derivatives",0.4826291079812207
513,PC1,"negative_Pentahydroxy bile acids, alcohols and derivatives",1.0
514,PC1,positive_Pentose phosphates,1.0
515,PC1,negative_Pentose phosphates,1.0
516,PC1,positive_Pentoses,0.22937062937062935
517,PC1,negative_Pentoses,1.0
518,PC1,positive_Peptides,1.0
519,PC1,negative_Peptides,0.4172366621067031
520,PC1,positive_Peptidomimetics,1.0
521,PC1,negative_Peptidomimetics,0.5597722186906544
522,PC1,positive_Phenanthrenes and derivatives,0.483141205921439
